Wall time,Step,Value
1777228157.4100795,441508,-29.03700065612793
1777228276.3333278,445604,-23.10099983215332
1777228397.7382429,449700,-10.39900016784668
1777228524.7662055,453796,-10.450000762939453
1777228655.540999,457892,-17.240001678466797
1777228787.5387087,461988,-16.145000457763672
1777228927.4006987,466084,-30.548999786376953
1777229069.983499,470180,-29.986000061035156
1777229213.7220292,474276,-14.626999855041504
1777229366.8305507,478372,-18.274999618530273
1777229522.083798,482468,-11.53499984741211
1777229689.9430768,486564,-13.236000061035156
1777229857.4171083,490660,-16.854000091552734
1777230032.9373786,494756,-15.227999687194824
1777230204.037539,498852,-7.943999290466309
1777230376.4470656,502948,-3.4359993934631348
1777230552.2239442,507044,-9.459000587463379
1777230739.6233182,511140,-20.3700008392334
1777230917.8685114,515236,0.04299931973218918
1777231108.9487288,519332,-5.697000503540039
1777231371.6116462,523428,-4.839000701904297
1777231566.1976397,527524,-4.589000225067139
1777231776.6362154,531620,-11.822999000549316
1777231965.3800504,535716,-7.739999771118164
1777232198.76182,539812,-0.48900049924850464
1777232451.5510738,543908,-3.949000597000122
1777232685.4361398,548004,-5.199000358581543
1777232904.732006,552100,2.6389992237091064
1777233122.382045,556196,-3.2139999866485596
1777233350.954179,560292,1.9240007400512695
1777233610.9034915,564388,-13.746000289916992
1777233855.8943582,568484,-19.273000717163086
1777234099.131756,572580,-11.642000198364258
1777234351.038501,576676,-9.084000587463379
1777234595.9851153,580772,-20.18899917602539
1777234833.5077798,584868,1.7010000944137573
1777235115.489808,588964,-14.480000495910645
1777235384.298942,593060,-12.635000228881836
1777235640.9970627,597156,-12.919000625610352
1777235921.6854875,601252,-8.677000999450684
