Wall time,Step,Value
1776960413.6749403,2048,-14.5
1776960462.1253555,4096,-11.83088207244873
1776960510.5178134,6144,-9.3100004196167
1776960558.6534784,8192,-1.5600005388259888
1776960607.563786,10240,5.564999580383301
1776960655.5456083,12288,14.069999694824219
1776960703.4948804,14336,12.174999237060547
1776960752.7099876,16384,14.559999465942383
1776960804.3078496,18432,13.100000381469727
1776960855.3076448,20480,16.690000534057617
1776960906.0479043,22528,22.90999984741211
1776960957.426095,24576,22.28499984741211
1776961015.5139747,26624,14.670000076293945
1776961083.7177165,28672,15.3149995803833
1776961138.3768058,30720,20.939998626708984
1776961189.4680583,32768,20.645000457763672
1776961240.758133,34816,21.985000610351562
1776961291.8723323,36864,18.684999465942383
1776961343.024443,38912,15.359999656677246
1776961410.8588612,40960,13.934999465942383
1776961462.0785418,43008,22.404998779296875
1776961513.200241,45056,29.815000534057617
1776961565.9286823,47104,24.85999870300293
1776961622.0301397,49152,17.899999618530273
1776961677.7537417,51200,11.304999351501465
1776961734.2882729,53248,22.540000915527344
1776961788.6713023,55296,31.600000381469727
1776961845.013471,57344,33.060001373291016
1776961902.0787456,59392,23.239999771118164
1776961962.3813267,61440,22.94499969482422
1776962016.1617663,63488,21.174999237060547
1776962067.2176077,65536,25.795000076293945
1776962118.2503612,67584,20.440000534057617
1776962169.9119587,69632,18.549999237060547
1776962220.664522,71680,9.919999122619629
1776962272.3274894,73728,20.21500015258789
1776962323.0223744,75776,18.059999465942383
1776962374.0820425,77824,19.065000534057617
1776962424.5861473,79872,17.780000686645508
1776962475.826285,81920,24.639999389648438
1776962526.8069885,83968,23.25
1776962578.062989,86016,18.920000076293945
1776962628.6710231,88064,21.329999923706055
1776962679.7700284,90112,17.454999923706055
1776962730.6967757,92160,22.670000076293945
1776962782.285973,94208,26.41499900817871
1776962833.6097915,96256,39.54499816894531
1776962884.7985692,98304,35.875
1776962935.8099463,100352,29.494998931884766
1776962986.925878,102400,17.28999900817871
1776963038.297209,104448,20.41499900817871
1776963089.0278964,106496,19.89499855041504
1776963140.4303722,108544,23.799999237060547
1776963191.340713,110592,20.435001373291016
1776963242.9209235,112640,24.94499969482422
1776963294.2995398,114688,30.479999542236328
1776963345.263247,116736,36.35499954223633
1776963396.123321,118784,29.6200008392334
1776963447.3870132,120832,26.34000015258789
1776963498.052853,122880,22.5049991607666
1776963548.8024378,124928,26.829999923706055
1776963599.8918154,126976,30.829999923706055
1776963650.5663552,129024,33.1349983215332
1776963701.8205833,131072,28.434999465942383
1776963752.8330398,133120,17.704999923706055
1776963803.5938141,135168,14.805000305175781
1776963854.4372466,137216,22.229999542236328
1776963905.6774924,139264,21.270000457763672
1776963956.2084706,141312,18.66499900817871
1776964007.2421134,143360,13.78499984741211
1776964058.4854934,145408,20.475000381469727
1776964109.2657833,147456,18.604999542236328
1776964160.4290457,149504,24.184999465942383
1776964211.5037446,151552,26.5049991607666
1776964263.0561671,153600,29.19499969482422
1776964314.57054,155648,17.90999984741211
1776964365.9488127,157696,17.59000015258789
1776964416.6834505,159744,17.344999313354492
1776964467.8269918,161792,23.645000457763672
1776964519.046254,163840,23.850000381469727
