Wall time,Step,Value
1777304946.1363013,1547180,-9.373000144958496
1777305097.149898,1551276,-14.698999404907227
1777305252.2367535,1555372,-23.54400062561035
1777305417.473369,1559468,-42.215999603271484
1777305597.9537704,1563564,-10.148999214172363
1777305779.139543,1567660,-31.96500015258789
1777305966.8073523,1571756,-34.94900131225586
1777306160.9680595,1575852,-24.41200065612793
1777306361.3574085,1579948,-34.941001892089844
1777306570.224323,1584044,-25.626998901367188
1777306786.8238535,1588140,-23.647998809814453
1777307011.956185,1592236,-34.59700012207031
1777307243.2549496,1596332,-24.666000366210938
1777307484.1378675,1600428,-13.491999626159668
1777307732.0389547,1604524,-28.871997833251953
1777307986.4308894,1608620,5.510001182556152
1777308250.2283423,1612716,-28.9060001373291
1777308520.410375,1616812,-20.222000122070312
1777308798.7852252,1620908,-2.683000326156616
1777309085.3356736,1625004,1.070999264717102
1777309381.1414616,1629100,-13.527999877929688
1777309682.5375154,1633196,-18.652999877929688
1777310006.9090676,1637292,-14.303000450134277
1777310323.889765,1641388,-1.6170002222061157
1777310647.7967005,1645484,-6.413999080657959
1777310982.9649134,1649580,-16.893999099731445
1777311324.7970178,1653676,-13.331000328063965
1777311675.085044,1657772,-29.195999145507812
1777312030.0394628,1661868,-12.844000816345215
1777312394.20088,1665964,-21.3700008392334
1777312763.8533063,1670060,-12.923999786376953
1777313142.0147908,1674156,-27.069000244140625
1777313528.3952246,1678252,-21.17599868774414
1777313932.7569892,1682348,-25.73200035095215
1777314356.1090653,1686444,-20.685001373291016
1777314769.821292,1690540,-31.625999450683594
1777315189.1143324,1694636,-28.511999130249023
1777315614.4849076,1698732,-4.977998733520508
1777316046.9122593,1702828,7.294999599456787
1777316487.7265015,1706924,12.692999839782715
1777316934.6979122,1711020,-10.975001335144043
1777317389.038187,1715116,-10.815999984741211
1777317847.6438353,1719212,-17.13800048828125
1777318316.8156536,1723308,-14.519999504089355
1777318795.1327024,1727404,-17.263999938964844
1777319277.1679277,1731500,-10.95300006866455
1777319792.7368343,1735596,-10.539000511169434
1777320298.2762706,1739692,-14.81299877166748
1777320820.1650596,1743788,-27.35999870300293
1777321796.1866558,1750976,-30.78499984741211
1777321940.3743231,1755072,-26.825000762939453
1777322089.1438086,1759168,-27.041000366210938
1777322242.903628,1763264,-24.069000244140625
1777322407.2368085,1767360,-22.993000030517578
1777322579.6290004,1771456,-29.882999420166016
1777322759.0817826,1775552,-5.205000400543213
1777322946.2614522,1779648,-17.170000076293945
1777323142.7225542,1783744,-18.263999938964844
1777323347.6408238,1787840,-39.05500030517578
1777323560.9097388,1791936,-20.312000274658203
1777323782.8237174,1796032,-24.89299964904785
1777324014.49516,1800128,-18.709999084472656
1777324253.244299,1804224,-18.07400131225586
1777324499.1376722,1808320,-18.542001724243164
1777324755.7291129,1812416,-30.45599937438965
1777325020.5014539,1816512,-22.238000869750977
1777325292.6268485,1820608,-22.834001541137695
1777325574.4799438,1824704,-39.34600067138672
1777325862.248583,1828800,-24.744998931884766
1777326159.7570395,1832896,-35.11800003051758
1777326467.710075,1836992,-28.135997772216797
1777326783.821496,1841088,-26.98699951171875
1777327103.7506938,1845184,-6.192999839782715
1777327431.729751,1849280,2.452000379562378
1777327770.1474361,1853376,-39.85300064086914
1777328116.356725,1857472,-18.606000900268555
1777328471.529039,1861568,-18.27699851989746
1777328835.9371734,1865664,-29.226999282836914
1777329205.995021,1869760,-0.6339998245239258
1777329587.8976588,1873856,3.6040000915527344
1777329975.949906,1877952,17.461999893188477
1777330373.992267,1882048,-24.07200050354004
1777330779.5050972,1886144,-11.482000350952148
1777331195.0356987,1890240,-13.391999244689941
1777331616.6876018,1894336,-12.593000411987305
1777332044.0817916,1898432,-6.00200080871582
1777332481.4175115,1902528,-19.527999877929688
1777332927.020807,1906624,-10.668000221252441
1777333378.9644136,1910720,-13.28499984741211
1777333842.3754303,1914816,-16.23400115966797
1777334314.7048867,1918912,-4.697000026702881
1777334795.8152196,1923008,-13.547999382019043
1777335282.2164247,1927104,-24.575000762939453
1777335776.4426007,1931200,-26.961000442504883
1777336275.2287364,1935296,-9.868000030517578
1777336783.1761606,1939392,-1.6369998455047607
1777337302.7138731,1943488,-10.465998649597168
1777337831.6339364,1947584,-15.64699935913086
1777338366.8146312,1951680,-10.484000205993652
1777338914.2594805,1955776,-18.20800018310547
1777339465.7453175,1959872,-24.726999282836914
1777340024.412111,1963968,-9.684999465942383
1777340590.4780066,1968064,-29.655000686645508
1777341160.1462517,1972160,-9.846000671386719
1777341741.2192318,1976256,-11.444000244140625
1777342333.7178292,1980352,-15.017999649047852
1777342937.1757777,1984448,-14.27299976348877
1777343543.503701,1988544,-4.831998825073242
1777344159.2084467,1992640,-4.356998443603516
1777344786.77845,1996736,-21.499000549316406
1777345406.2973833,2000832,-29.55299949645996
