Wall time,Step,Value
1777212447.2798505,4096,-18.43043327331543
1777212554.9936936,8192,8.885000228881836
1777212664.701087,12288,7.173999786376953
1777212775.2405944,16384,22.257999420166016
1777212886.9027357,20480,30.249000549316406
1777213000.0117276,24576,28.572999954223633
1777213121.6403873,28672,33.49100112915039
1777213245.3037357,32768,35.3380012512207
1777213362.1571224,36864,44.792999267578125
1777213481.9736354,40960,47.034000396728516
1777213602.8965664,45056,49.07200241088867
1777213729.5973115,49152,47.9640007019043
1777213843.9865873,53248,55.854000091552734
1777213965.0480704,57344,58.867000579833984
1777214083.1900897,61440,62.446998596191406
1777214197.5511534,65536,62.36399841308594
1777214322.2469718,69632,62.15999984741211
1777214449.6623478,73728,50.90599822998047
1777214570.0802224,77824,61.926998138427734
1777214689.7751565,81920,48.115997314453125
1777214806.8401566,86016,69.22100067138672
1777214922.7896187,90112,64.96299743652344
1777215035.433827,94208,73.46299743652344
1777215148.167663,98304,63.82699966430664
1777215275.5712965,102400,42.518001556396484
1777215396.1662824,106496,45.50299835205078
1777215513.858378,110592,59.06100082397461
1777215631.9515405,114688,63.35300064086914
1777215759.0208817,118784,52.709999084472656
1777215883.2448406,122880,63.0989990234375
1777216010.1590228,126976,55.292999267578125
1777216148.2516603,131072,48.76599884033203
1777216267.2583551,135168,67.68800354003906
1777216388.0853071,139264,61.36899948120117
1777216518.0616934,143360,57.597999572753906
1777216654.2887442,147456,55.16899871826172
1777216787.9592972,151552,56.87299728393555
1777216915.995761,155648,51.97999954223633
1777217044.8289897,159744,62.503997802734375
1777217169.6084845,163840,78.02000427246094
1777217298.4592705,167936,63.132999420166016
1777217439.1833575,172032,44.94099807739258
1777217571.541746,176128,63.444000244140625
1777217703.527339,180224,61.138999938964844
1777217844.9089196,184320,62.090999603271484
1777217983.2567136,188416,57.597999572753906
1777218123.15576,192512,51.369998931884766
1777218257.5414908,196608,55.46699905395508
1777218393.2315116,200704,46.73699951171875
1777218524.2546291,204800,59.41600036621094
1777218663.0495605,208896,61.277000427246094
1777218807.1402647,212992,61.553001403808594
1777218949.0352776,217088,55.12199783325195
1777219093.727683,221184,60.67100143432617
1777219235.5506115,225280,60.98699951171875
1777219378.1266654,229376,54.819000244140625
1777219513.7723043,233472,49.46699905395508
1777219658.8498435,237568,49.54899978637695
1777219806.697824,241664,64.20099639892578
1777219950.6244242,245760,61.457000732421875
1777220091.07029,249856,68.0
1777220232.9196398,253952,67.04100036621094
1777220392.618687,258048,53.75899887084961
1777220531.979848,262144,57.01000213623047
1777220679.1249945,266240,52.46900177001953
1777220850.109501,270336,39.98099899291992
1777220995.614141,274432,58.365997314453125
1777221140.7864766,278528,60.78099822998047
1777221287.2775884,282624,55.830997467041016
1777221430.7511203,286720,65.64799499511719
1777221574.73002,290816,71.96800231933594
1777221722.9301217,294912,64.0719985961914
1777221864.4850886,299008,71.1989974975586
1777221997.7822392,303104,73.8499984741211
1777222149.7872815,307200,56.68000030517578
1777222312.9305985,311296,49.23400115966797
1777222457.3643594,315392,59.290000915527344
1777222588.40401,319488,66.79299926757812
1777222738.4270272,323584,67.43299865722656
1777222910.0980525,327680,67.9749984741211
1777223077.8357658,331776,58.81800079345703
