Wall time,Step,Value
1777223838.832551,339108,-11.308000564575195
1777224040.0459335,339108,-14.675000190734863
1777224162.3519447,343204,-40.47700119018555
1777224284.0471177,347300,-38.909000396728516
1777224408.5065567,351396,-34.05699920654297
1777224520.2811952,355492,-31.30900001525879
1777224641.9683065,359588,-41.25199890136719
1777224758.7398689,363684,-20.784000396728516
1777224882.714053,367780,-15.755000114440918
1777225011.2938223,371876,-34.496002197265625
1777225143.84238,375972,-19.387001037597656
1777225292.9925904,380068,-26.020000457763672
1777225445.7492697,384164,-30.868000030517578
1777225601.1411898,388260,-22.194000244140625
1777225764.4157076,392356,-17.663000106811523
1777225931.4937654,396452,-24.006000518798828
1777226107.6871166,400548,-25.222999572753906
1777226286.8221319,404644,-15.296998977661133
1777226477.034558,408740,-29.22599983215332
1777226685.5542426,412836,-38.93899917602539
1777226881.9217293,416932,-27.427000045776367
1777227070.2594838,421028,-31.689998626708984
1777227277.980398,425124,-40.150001525878906
1777227495.8998477,429220,-46.19499969482422
1777227713.9572861,433316,-35.025001525878906
1777227950.8834639,437412,-35.843997955322266
